tipo,id,nombre,apellido,email,telefono,direccion,extra
Premium,1,Ignacio,Trujillo,Ignai@mail.com,85663121,Limache,5.0
Regular,2,Francisco,Perez,Pancho@mail.com,12345678,Limache,
Regular,3,Ilonka,Perez,Maskd@masd.com,123425647,Limache,
Corporativo,4,Macarena,Trujillo,Maca@mail.com,85412569,Limache,GTD
Premium,5,Felipe,Lopez,Feli@mail.com,12345678,Lliu Lliu,2.0
Premium,6,Barbara,Cortes,Baby@mail.com,12345684,Laureles,0.2
Regular,7,Juan,Perez,Juan.Perez@mail.com,123456789,Limache,
Corporativo,9,Yarella,Ramirez,Yare@mail.com,456789123,Quillota,MiraPadel
Corporativo,10,Karupin,Leiva,Karupin@mail.com,123789456,Limache,Mishis
Premium,11,Luigy,Zamora,Luigy@mail.com,123456789,Limache,0.1
Corporativo,12,Fernando,Gonzalez,Fer.Gonz@mail.com,123456789,Santiago,Bombarderos
Regular,101,Ana,Perez,ana.nueva@gmail.com,456789123,Viña,
Premium,102,Carlos,Ruiz,Car@mail.com,987654321,Villarica,0.2
Corporativo,103,Tech,Solutions,Tech@mail.com,8522177963,Santiago,Google
